SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamID
3,2018,IND,34,38,72,14,14,0,6,0,26:42,41,14,24,3,120,688,5.7,5,49,287,5.9,1,68,38,401,3,1,5.9,10.6,55.9,81.80,23,9,39.1,1,1,100,6,3,0,0,12,80,1,1,3,24,15,11,11,486,44.2,2,2,0,14,10,0,14,0,34:18,49,19,27,3,146,755,5.2,5,49,285,5.8,4,90,56,470,1,1,5.2,8.4,62.2,74.77,27,7,25.9,9,5,55.6,6,4,0,0,14,121,1,1,7,43,10,6,8,344,43,2,2,0,50.0,0,66.7,0,5,4,0,0,0,0,0,1,0,5,5,0,0,0,0,0,1,1,94,51,7,43,7,2,1,74,35,3,24,18,1,1,2,14
2,2018,IND,88,80,168,6,27,17,38,0,31:52,79,23,47,9,265,1327,5.0,9,115,332,2.9,2,141,88,995,6,3,7.1,11.3,62.4,88.82,65,27,41.5,7,5,71.4,16,8,0,0,34,335,4,4,9,74,24,23,18,792,44,7,5,-2,14,29,16,21,0,29:08,75,28,36,11,252,1164,4.6,8,115,457,4.0,3,126,81,707,4,2,5.6,8.7,64.3,83.00,52,16,30.8,4,2,50.0,13,6,0,0,38,327,3,3,11,79,19,20,22,995,45.2,5,7,2,50.0,0,46.2,0,7,7,0,3,0,0,0,9,9,7,6,0,0,0,1,1,9,8,197,85,11,0,19,6,4,190,71,9,0,23,3,4,4,14
1,2018,IND,433,344,777,83,135,87,125,3,30:05,371,96,237,38,1070,6179,5.8,52,408,1718,4.2,13,644,432,4461,39,15,6.9,10.3,67.1,97.33,214,104,48.6,15,7,46.7,64,44,0,0,120,953,9,9,18,134,78,110,57,2629,46.1,24,26,2,76,99,80,83,6,31:33,315,87,203,25,995,5431,5.5,37,415,1626,3.9,12,542,384,3805,21,15,7.0,9.9,70.8,91.76,200,82,41.0,15,7,46.7,43,23,0,0,131,1115,11,11,38,228,78,67,67,3022,45.1,26,24,-2,68.8,0,53.5,0,47,44,0,6,2,2,2,27,23,37,36,1,0,0,0,0,33,28,749,333,38,233,61,15,11,767,207,18,134,95,11,9,16,14
1,2018,JAX,245,316,561,42,81,60,62,0,30:14,277,92,164,21,1005,4832,4.8,25,416,1723,4.1,7,536,329,3109,15,13,5.8,9.4,61.4,76.62,230,93,40.4,17,8,47.1,34,15,0,0,121,1112,16,16,53,322,94,89,86,3872,45.0,29,17,-12,77,88,62,89,0,30:46,288,89,162,37,970,4983,5.1,34,434,1870,4.3,16,499,312,3113,17,11,6.2,10.0,62.5,82.35,212,80,37.7,12,3,25.0,47,24,0,0,92,735,6,6,37,241,116,94,79,3791,48.0,17,29,12,44.1,0,51.1,0,23,22,1,4,0,0,0,26,23,30,29,0,5,0,1,1,31,27,717,191,38,236,52,7,7,730,252,52,319,77,20,16,16,15
2,2018,JAX,76,50,126,10,23,26,17,0,33:12,83,30,46,7,267,1305,4.9,10,121,470,3.9,7,128,86,835,1,3,6.5,9.7,67.2,78.09,56,24,42.9,6,4,66.7,9,7,0,0,30,280,1,1,18,104,18,20,16,683,42.7,4,4,0,9,20,7,14,0,27:48,77,28,38,11,243,1066,4.4,5,103,442,4.3,4,126,72,624,1,1,5.0,8.7,57.1,69.68,47,12,25.5,9,3,33.3,9,5,0,0,18,150,3,3,14,84,35,23,17,746,43.9,4,4,0,77.8,0,55.6,0,7,7,0,4,0,0,0,7,5,5,5,0,0,0,0,0,6,5,194,23,14,0,19,4,3,218,43,19,0,15,4,2,4,15
2,2018,KC,91,79,170,14,30,13,34,0,31:03,79,12,60,7,242,1346,5.6,9,83,250,3.0,0,154,102,1096,7,3,7.1,10.7,66.2,93.97,54,28,51.9,4,2,50.0,11,3,0,0,29,320,0,0,5,16,11,9,13,561,43.2,3,5,2,35,38,3,3,0,29:57,74,18,45,11,223,1224,5.5,10,104,412,4.0,2,116,73,812,8,4,7,11.1,62.9,92.31,47,23,48.9,7,2,28.6,12,8,0,0,24,193,1,1,3,8,16,12,12,580,48.3,5,3,-2,27.3,0,66.7,0,8,8,0,2,1,0,0,9,9,10,10,0,0,0,0,0,3,3,165,53,3,0,18,2,1,186,45,5,0,14,0,0,4,16
3,2018,KC,62,50,112,14,10,7,31,0,30:21,47,15,25,7,125,723,5.8,8,45,221,4.9,5,72,43,502,3,0,7.0,11.7,59.7,94.79,23,8,34.8,4,3,75.0,7,6,0,0,10,82,1,1,8,71,7,5,8,327,40.9,1,3,2,7,14,3,20,6,32:05,51,19,30,2,147,790,5.4,7,62,263,4.2,4,82,49,527,2,2,6.4,10.8,59.8,76.63,28,13,46.4,3,2,66.7,7,4,0,0,16,131,1,1,3,24,17,13,9,413,45.9,3,1,-2,85.7,0,57.1,0,8,8,0,0,0,0,0,2,2,6,5,0,0,0,0,0,2,1,88,58,3,24,15,1,1,89,32,8,71,5,3,1,2,16
1,2018,KC,565,421,986,147,150,134,131,3,29:11,384,108,239,37,996,6810,6.8,71,387,1855,4.8,16,583,385,4955,50,12,8.5,12.9,66.0,112.54,176,83,47.2,15,12,80.0,71,51,0,0,137,1152,6,6,26,171,109,89,45,2021,44.9,18,27,9,56,131,98,136,0,31:20,419,129,247,43,1109,6488,5.9,51,425,2114,5.0,19,632,406,4374,30,15,6.9,10.8,64.2,90.39,193,80,41.5,27,18,66.7,58,42,0,0,107,881,12,12,52,347,109,65,51,2278,44.7,27,18,-9,71.8,0,72.4,0,69,65,1,2,0,1,1,27,24,40,37,0,17,4,1,1,26,22,747,306,52,351,65,22,12,641,291,25,159,54,10,6,16,16
1,2018,LAC,428,329,757,78,151,99,100,0,31:43,338,100,213,25,945,5962,6.3,51,399,1873,4.7,16,512,348,4089,32,12,8.0,11.8,68.0,103.07,177,70,39.5,8,7,87.5,53,34,0,0,113,967,7,7,34,227,85,78,61,2643,43.3,19,20,1,98,66,73,92,0,29:17,311,101,178,32,981,5339,5.4,38,395,1693,4.3,11,548,351,3646,23,13,6.7,10.4,64.1,87.29,202,79,39.1,20,11,55.0,50,25,0,0,103,828,7,7,38,240,92,75,67,3195,47.7,20,19,-1,64.2,0,50.0,0,43,36,0,14,5,1,1,29,24,31,30,0,11,1,0,0,30,23,691,334,38,246,74,8,7,654,333,33,215,70,10,7,16,29
3,2018,LAC,51,58,109,13,6,7,25,0,28:40,36,5,24,7,129,578,4.5,5,43,108,2.5,2,83,47,470,3,1,5.7,10,56.6,79.89,30,11,36.7,2,2,100,6,4,0,0,10,68,2,2,3,21,12,15,11,414,37.6,3,3,0,14,21,6,17,0,32:20,41,14,25,2,137,727,5.3,7,57,245,4.3,4,73,48,482,3,1,6.6,10.0,65.8,92.38,29,12,41.4,3,3,100,9,6,0,0,16,116,2,2,7,55,15,11,10,441,44.1,3,3,0,66.7,0,66.7,0,2,2,0,6,2,0,0,6,5,7,7,0,0,0,0,0,4,3,94,52,7,55,7,2,2,89,31,3,21,9,1,2,2,29
2,2018,LAC,71,95,166,20,17,21,13,0,32:03,69,30,27,12,238,1067,4.5,9,117,515,4.4,4,107,68,552,3,2,5.2,8.1,63.6,78.10,52,21,40.4,4,1,25.0,11,5,0,0,38,391,3,3,14,94,20,18,20,929,46.4,5,5,0,13,21,22,39,0,28:57,66,20,36,10,222,1074,4.8,11,98,317,3.2,6,115,74,757,3,2,6.6,10.2,64.3,84.58,50,20,40.0,5,4,80.0,16,9,0,0,30,273,3,3,9,51,31,19,19,914,48.1,5,5,0,45.5,0,56.2,0,8,8,0,0,0,0,0,6,5,6,6,0,5,2,2,2,5,5,162,79,9,0,15,1,3,178,110,14,0,12,2,3,4,29
3,2018,LAR,59,58,117,3,27,13,13,3,32:53,63,24,36,3,204,1097,5.4,5,92,412,4.5,4,107,60,685,1,2,6.4,11.4,56.1,70.81,40,14,35.0,3,3,100,8,4,0,0,20,170,0,0,5,39,14,14,14,629,44.9,2,2,0,20,3,15,20,0,29:13,60,17,35,8,187,1005,5.4,6,75,252,3.4,3,108,67,753,3,2,7.0,11.2,62.0,84.38,36,10,27.8,5,3,60.0,8,5,0,0,10,66,0,0,4,24,19,15,13,551,42.4,2,2,0,50.0,0,62.5,0,5,5,0,0,0,0,0,10,8,5,5,0,2,1,0,0,6,5,128,55,4,24,12,3,0,136,60,5,39,13,1,0,3,32
1,2018,LAR,527,384,911,105,174,131,117,0,31:42,401,134,236,31,1060,6738,6.4,60,459,2231,4.9,23,568,368,4507,32,12,7.9,12.2,64.8,99.11,191,86,45.0,15,6,40.0,80,46,0,0,96,878,7,7,33,223,102,85,43,1992,46.3,19,30,11,84,112,106,82,0,29:18,322,101,185,36,960,5737,6.0,44,386,1957,5.1,12,533,347,3780,31,18,7.1,10.9,65.1,91.20,188,70,37.2,15,9,60.0,52,30,0,0,99,852,12,12,41,326,74,82,64,2912,45.5,30,19,-11,57.5,0,57.7,0,53,51,0,8,3,2,2,41,34,42,39,0,4,2,0,0,28,25,673,274,41,339,68,13,12,767,250,32,217,64,10,7,16,32
2,2018,LAR,47,96,143,7,20,10,10,0,32:19,52,21,22,9,239,784,3.3,5,115,398,3.5,3,113,65,386,2,5,3.4,5.9,57.5,51.71,61,20,32.8,3,1,33.3,9,5,0,0,32,262,3,3,11,86,15,19,25,1012,40.5,8,6,-2,30,22,16,28,0,28:41,74,31,32,11,237,1281,5.4,12,112,530,4.7,5,116,66,751,6,3,6.5,11.4,56.9,82.94,46,13,28.3,6,4,66.7,16,10,0,0,30,236,3,3,9,58,18,23,17,766,45.1,6,8,2,55.6,0,62.5,0,6,6,0,0,0,0,0,5,4,6,6,0,7,0,0,0,10,6,159,84,9,0,23,3,3,181,81,11,0,20,5,3,4,32
1,2018,MIA,319,433,752,52,115,59,90,3,28:06,252,75,153,24,878,4638,5.3,38,371,1738,4.7,7,455,292,2900,26,13,6.4,9.9,64.2,89.26,186,56,30.1,13,8,61.5,31,16,0,0,108,978,10,10,52,409,77,79,87,3884,44.6,23,28,5,89,85,101,158,0,33:31,350,116,195,39,1024,6257,6.1,52,485,2325,4.8,17,508,335,3932,31,21,7.7,11.7,65.9,92.40,196,84,42.9,15,6,40.0,61,37,0,0,107,856,7,7,31,209,106,99,54,2326,43.1,28,23,-5,51.6,0,60.7,0,36,35,0,2,1,0,0,20,18,50,47,0,3,1,0,0,32,24,709,342,30,208,59,11,7,630,276,52,404,63,9,11,16,19
2,2018,MIA,88,87,175,30,23,16,19,0,29:56,79,21,49,9,264,1291,4.9,8,87,405,4.7,4,165,106,886,4,5,5.4,8.4,64.2,73.45,54,13,24.1,8,4,50.0,17,8,0,0,26,198,2,2,12,71,23,27,18,869,48.3,7,5,-2,12,27,21,27,0,31:04,81,34,41,6,267,1415,5.3,11,123,606,4.9,8,134,85,809,3,4,6.0,9.5,63.4,75.12,54,21,38.9,3,2,66.7,11,7,0,0,29,259,1,1,10,55,31,21,21,990,47.1,5,7,2,47.1,0,63.6,0,6,6,0,2,1,1,1,12,10,10,9,0,1,0,0,0,8,4,171,115,10,0,15,1,1,186,74,12,0,21,2,2,4,19
2,2018,MIN,86,65,151,17,19,13,37,0,32:47,79,26,42,11,275,1206,4.4,10,120,429,3.6,3,143,92,777,7,1,5.4,8.4,64.3,91.74,62,23,37.1,5,3,60.0,11,8,0,0,26,218,3,3,12,102,39,26,22,1013,46.0,4,4,0,3,31,10,21,0,28:13,60,18,36,6,243,1087,4.5,8,95,386,4.1,4,134,75,701,3,4,5.2,9.3,56.0,65.55,56,19,33.9,3,2,66.7,7,4,0,0,41,387,0,0,14,107,23,20,28,1341,47.9,4,4,0,72.7,0,57.1,0,7,7,0,6,2,0,0,8,5,8,8,0,0,0,0,0,4,3,177,61,14,0,18,3,0,217,72,12,0,20,5,3,4,20
1,2018,MIN,360,341,701,79,87,78,116,0,30:34,310,66,218,26,1003,5529,5.5,42,357,1493,4.2,9,606,425,4036,30,10,6.7,9.5,70.1,97.90,204,73,35.8,21,9,42.9,50,27,0,0,92,779,10,10,40,262,94,103,72,3255,45.2,20,20,0,75,116,53,97,0,31:03,303,107,160,36,993,4955,5.0,34,440,1815,4.1,13,503,315,3140,15,12,6.2,10.0,62.6,80.28,190,58,30.5,19,9,47.4,49,22,0,0,106,834,8,8,50,361,98,91,76,3431,45.1,20,20,0,54.0,0,44.9,0,37,36,0,10,3,0,0,32,22,29,28,0,7,4,1,1,36,33,702,285,50,361,61,8,8,707,262,40,262,76,8,10,16,20
1,2018,NE,436,325,761,88,157,74,117,0,31:05,365,131,206,28,1073,6295,5.9,51,478,2037,4.3,18,574,378,4258,29,11,7.4,11.3,65.9,96.73,201,82,40.8,14,7,50.0,57,34,0,0,93,744,7,7,21,147,99,67,64,2885,45.1,18,28,10,80,81,80,84,0,29:55,322,93,208,21,1002,5746,5.7,36,367,1803,4.9,7,605,370,3943,29,18,6.5,10.7,61.2,83.78,197,76,38.6,16,6,37.5,46,27,0,0,91,838,10,10,30,238,70,55,69,2899,42.0,28,18,-10,59.6,0,58.7,0,50,49,0,2,0,0,0,32,27,34,34,0,1,0,0,0,29,25,629,356,30,237,67,12,10,688,413,21,147,52,9,7,16,21
2,2018,NE,94,74,168,13,23,21,37,0,29:23,85,34,35,16,263,1255,4.8,10,117,539,4.6,5,142,88,716,4,2,5.0,8.1,62.0,78.26,57,21,36.8,4,3,75.0,11,7,0,0,24,264,2,2,4,21,24,18,22,1084,49.3,4,5,1,16,23,22,13,0,31:37,79,19,48,12,268,1338,5.0,9,101,389,3.9,1,153,89,949,8,3,6.2,10.7,58.2,85.66,61,24,39.3,6,2,33.3,10,6,0,0,32,338,2,2,14,91,13,15,21,945,45,5,4,-1,63.6,0,60.0,0,7,7,0,2,1,2,2,8,7,7,5,0,3,0,0,0,6,5,173,116,14,0,19,4,2,188,92,4,10,21,1,3,4,21
3,2018,NE,91,62,153,21,31,6,27,6,38:30,88,31,50,7,240,1429,6.0,11,114,485,4.3,9,125,85,944,2,3,7.6,11.1,68.0,85.55,45,23,51.1,4,2,50.0,13,10,0,0,18,156,0,0,1,9,29,16,11,463,42.1,3,3,0,7,0,17,38,0,23:08,54,7,38,9,170,885,5.2,8,40,122,3.0,2,120,60,763,6,2,6.4,12.7,50.0,79.97,35,12,34.3,1,1,100,6,6,0,0,18,126,1,1,10,92,7,8,20,871,43.6,3,3,0,76.9,0,100,0,10,10,0,0,0,0,0,6,5,6,6,0,4,1,0,0,3,2,102,35,10,92,18,2,1,155,103,1,9,10,1,0,3,21
5,2018,NFC,7,26,33,0,0,0,7,0,,10,2,6,2,45,148,3.3,1,9,47,5.2,0,29,14,101,1,3,3.5,7.2,48.3,28.74,10,1,10.0,3,2,66.7,1,0,0,0,3,53,0,0,7,46,1,3,4,173,43.2,3,2,-1,7,10,3,6,0,,24,6,17,1,65,416,6.4,3,18,54,3,1,46,21,362,2,2,7.9,17.2,45.7,69.29,12,5,41.7,2,0,0,4,3,0,0,4,40,0,0,1,3,8,7,0,0,0,2,3,1,0,0,75.0,0,1,1,0,0,0,0,0,0,0,2,2,0,2,0,0,0,3,2,38,4,1,3,9,0,1,27,6,7,46,6,1,0,1,37
3,2018,NO,43,40,83,13,10,14,6,0,34:16,44,14,26,4,135,710,5.3,4,52,185,3.6,0,79,54,525,4,2,6.6,9.7,68.4,93.06,29,14,48.3,2,2,100,7,4,0,0,14,104,0,0,4,25,10,6,7,305,43.6,2,3,1,14,10,7,6,3,27:23,34,7,25,2,115,628,5.5,4,42,126,3,2,72,44,502,2,3,7.0,11.4,61.1,73.96,23,8,34.8,1,1,100,5,3,0,0,11,94,0,0,1,8,13,11,9,424,47.1,3,2,-1,57.1,0,60.0,0,4,4,0,0,0,0,0,6,5,4,4,0,0,0,0,0,4,4,75,37,1,8,8,0,0,97,44,4,25,7,2,0,2,22
2,2018,NO,103,47,150,9,33,15,46,0,30:16,86,46,33,7,240,1275,5.3,12,132,620,4.7,8,100,72,655,2,4,6.6,9.1,72.0,79.38,48,20,41.7,7,5,71.4,17,10,0,0,24,223,3,3,8,54,29,22,10,473,47.3,7,6,-1,14,23,10,0,0,30:44,65,20,32,13,232,864,3.7,5,101,317,3.1,3,117,74,547,2,3,4.7,7.4,63.2,69.28,52,18,34.6,3,0,0,7,5,0,0,26,218,3,3,14,87,11,15,19,814,42.8,6,7,1,58.8,0,71.4,0,4,4,0,8,1,2,2,7,7,5,5,0,0,0,0,0,5,4,183,70,14,0,18,4,3,182,89,7,0,11,3,3,4,22
1,2018,NO,504,353,857,81,161,94,162,6,32:53,377,134,210,33,1010,6067,6.0,60,471,2025,4.3,26,519,381,4042,33,7,7.8,10.6,73.4,111.28,184,82,44.6,16,13,81.2,69,48,0,0,94,939,9,9,20,132,101,96,43,1996,46.4,16,24,8,98,101,71,83,0,29:34,333,72,224,37,978,5585,5.7,43,356,1284,3.6,12,573,384,4301,30,12,7.5,11.2,67.0,97.93,189,78,41.3,29,14,48.3,49,31,0,0,85,814,12,12,49,321,53,62,51,2246,44.0,24,16,-8,69.6,0,63.3,0,53,52,0,5,1,3,3,30,28,37,32,0,12,5,0,0,23,17,694,256,49,321,68,19,12,741,286,20,132,55,12,8,16,22
1,2018,NYG,369,412,781,74,95,80,117,3,29:57,297,71,208,18,984,5697,5.8,39,354,1650,4.7,13,583,382,4047,23,12,6.9,10.6,65.5,90.18,206,76,36.9,20,12,60.0,54,27,0,0,114,951,7,7,47,358,85,86,71,3226,45.4,19,21,2,61,114,68,169,0,32:30,346,103,205,38,1034,5942,5.7,45,444,1898,4.3,19,560,362,4044,24,16,7.2,11.2,64.6,88.42,206,87,42.2,17,14,82.4,58,33,0,0,110,919,5,5,30,185,100,110,66,3071,46.5,21,19,-2,50.0,0,56.9,0,32,31,0,11,3,1,1,33,32,39,39,0,8,3,2,2,35,31,757,310,30,188,76,10,5,736,337,47,349,69,10,7,16,23
2,2018,NYG,74,70,144,10,28,14,22,0,30:36,78,23,40,15,261,1266,4.9,8,104,445,4.3,4,151,84,821,3,2,5.4,9.8,55.6,72.20,58,20,34.5,4,1,25.0,10,6,0,0,25,210,1,1,6,47,20,23,24,1048,43.7,3,5,2,20,12,7,31,0,30:24,73,20,41,12,249,1269,5.1,9,104,382,3.7,3,136,86,887,6,3,6.5,10.3,63.2,87.47,58,19,32.8,5,4,80.0,9,6,0,0,43,420,2,2,9,57,13,14,27,1316,48.7,5,3,-2,60.0,0,66.7,0,7,5,0,1,0,0,0,7,7,8,7,0,2,0,0,0,4,3,191,61,9,0,24,3,2,188,69,6,0,22,2,1,4,23
2,2018,NYJ,55,47,102,17,19,3,16,0,28:18,57,13,36,8,224,913,4.1,5,102,283,2.8,1,112,69,630,4,3,5.6,9.1,61.6,77.60,55,19,34.5,4,1,25.0,10,5,0,0,35,305,3,3,10,49,18,20,23,1134,49.3,6,7,1,13,15,6,13,0,32:42,70,18,42,10,258,1299,5.0,2,101,383,3.8,0,148,93,916,1,5,6.2,9.8,62.8,68.41,55,16,29.1,4,1,25.0,9,1,0,0,28,219,2,2,9,40,17,20,20,932,46.6,7,6,-1,50.0,0,11.1,0,5,4,0,0,0,0,0,7,7,2,2,0,0,0,0,0,12,11,189,84,9,1,17,4,2,167,79,10,0,13,2,3,4,24
1,2018,NYJ,333,441,774,57,106,92,78,0,29:10,258,84,157,17,971,4787,4.9,34,410,1622,4.0,11,524,299,3165,18,19,6.0,10.6,57.1,71.14,214,69,32.2,22,11,50.0,45,20,0,0,114,948,11,11,37,239,115,84,82,3763,45.9,30,20,-10,90,123,88,134,6,31:03,343,104,201,38,1061,6086,5.7,49,440,2021,4.6,17,582,367,4065,29,13,7.0,11.1,63.1,91.04,213,72,33.8,14,9,64.3,59,31,0,0,95,817,7,7,39,293,77,96,78,3409,43.7,20,30,10,44.4,0,52.5,0,33,30,0,2,0,0,0,36,33,44,42,1,6,1,1,1,39,33,723,264,39,289,75,13,7,623,319,37,239,83,13,11,16,24
1,2018,OAK,290,467,757,58,82,63,84,3,31:59,300,86,197,17,995,5379,5.4,30,387,1628,4.2,9,556,382,3751,19,10,6.7,9.8,68.7,91.34,197,73,37.1,16,7,43.8,43,23,0,0,110,965,14,14,52,306,48,59,70,3022,43.2,24,17,-7,85,124,108,150,0,30:32,317,108,178,31,973,6102,6.3,56,480,2249,4.7,16,480,299,3853,36,14,8.0,12.9,62.3,100.29,201,93,46.3,12,8,66.7,62,37,0,0,117,991,3,3,13,80,95,94,60,2850,47.5,17,24,7,53.5,0,59.7,0,28,27,1,3,1,0,0,32,27,52,50,1,4,1,2,2,30,25,685,281,13,80,73,4,3,722,318,50,305,58,16,14,16,25
2,2018,OAK,74,54,128,13,20,12,29,0,29:54,66,22,34,10,226,1264,5.6,8,106,451,4.3,2,114,70,813,6,1,7.1,11.6,61.4,96.86,47,15,31.9,0,0,0,11,5,0,0,41,389,4,4,6,41,26,25,24,1018,42.4,5,2,-3,3,33,6,12,0,31:06,70,19,37,14,261,1119,4.3,5,105,364,3.5,3,144,82,755,2,1,5.2,9.2,56.9,73.12,58,15,25.9,7,2,28.6,10,4,0,0,37,321,1,1,12,85,11,12,25,1126,45.0,2,5,3,45.5,0,40.0,0,6,5,0,3,0,0,0,8,7,5,3,0,0,0,0,0,8,7,187,76,12,0,19,4,1,158,86,6,0,16,4,4,4,25
3,2018,PHI,30,35,65,17,0,7,6,0,26:29,36,4,28,4,111,550,5.0,4,39,91,2.3,1,71,43,459,3,4,6.5,10.7,60.6,70.10,20,8,40.0,1,1,100,4,3,0,0,7,55,0,0,1,8,12,12,10,467,46.7,4,1,-3,0,16,7,12,0,34:31,42,12,26,4,134,776,5.8,3,49,202,4.1,0,81,54,574,3,1,7.1,10.6,66.7,94.37,31,13,41.9,2,2,100,5,2,0,0,14,136,0,0,4,30,9,7,9,377,41.9,1,4,3,75.0,0,40.0,0,3,3,0,1,0,0,0,1,1,2,2,0,2,0,0,0,7,5,101,31,4,30,13,1,0,69,24,1,8,15,0,0,2,26
1,2018,PHI,367,348,715,41,107,101,115,3,33:39,346,94,221,31,1037,5845,5.6,41,398,1570,3.9,12,599,422,4275,29,11,7.1,10.1,70.5,99.02,205,84,41.0,23,14,60.9,57,33,0,0,100,852,12,12,40,249,133,99,61,2937,48.1,23,17,-6,61,108,53,114,12,28:29,308,71,215,22,1002,5859,5.8,37,332,1551,4.7,14,626,417,4308,22,10,6.9,10.3,66.6,91.33,202,72,35.6,19,11,57.9,56,25,0,0,115,995,7,7,44,311,102,92,65,2999,46.1,17,23,6,57.9,0,44.6,0,35,33,0,3,1,4,4,31,26,32,28,0,6,1,0,0,37,32,712,226,44,305,68,11,7,797,223,39,240,72,14,13,16,26
2,2018,PHI,44,82,126,0,21,16,7,0,30:25,77,25,46,6,272,1306,4.8,6,89,400,4.5,0,163,94,906,6,8,5.6,9.6,57.7,65.12,56,16,28.6,9,2,22.2,8,4,0,0,31,281,5,5,20,120,18,21,22,1085,49.3,13,4,-9,22,35,16,9,0,30:35,73,25,31,17,262,1124,4.3,7,122,450,3.7,1,128,75,674,5,3,5.3,9.0,58.6,76.11,58,15,25.9,4,1,25.0,10,3,0,0,24,203,1,1,12,68,27,25,25,1125,45,4,13,9,50.0,0,30.0,0,4,3,0,1,0,1,1,2,1,6,6,0,0,0,1,1,10,10,208,68,12,10,14,3,1,195,64,20,0,20,7,5,4,26
2,2018,PIT,120,95,215,42,29,33,16,0,29:22,76,23,40,13,237,1319,5.6,14,110,391,3.6,5,118,74,928,9,4,7.9,12.5,62.7,98.41,49,15,30.6,3,1,33.3,11,8,0,0,36,334,0,0,9,62,19,21,20,907,45.4,4,8,4,17,38,17,23,0,31:38,86,21,55,10,263,1305,5.0,13,95,315,3.3,2,154,95,990,8,4,6.4,10.4,61.7,86.77,53,19,35.8,6,1,16.7,11,8,0,0,37,291,4,4,14,94,20,18,21,914,43.5,8,4,-4,72.7,0,72.7,0,9,9,0,4,0,3,3,7,7,9,9,0,3,0,1,1,4,4,189,99,14,18,13,7,4,179,66,9,0,15,3,0,4,28
1,2018,PIT,428,360,788,70,166,101,91,0,31:00,378,88,251,39,1058,6453,6.1,54,345,1445,4.2,16,689,459,5008,35,17,7.3,10.9,66.6,94.54,198,88,44.4,14,9,64.3,49,36,0,0,111,1026,9,9,24,166,117,96,64,2780,43.4,26,15,-11,96,69,72,123,0,30:37,317,84,200,33,987,5235,5.3,42,369,1538,4.2,13,566,362,3697,27,8,6.5,10.2,64.0,92.61,197,72,36.5,13,7,53.8,49,29,0,0,136,1170,7,7,52,347,70,64,81,3610,44.6,15,26,11,73.5,0,59.2,0,49,44,0,10,4,0,0,23,16,39,38,0,6,2,0,0,26,22,690,282,51,347,69,13,7,712,309,24,166,88,12,8,16,28
